country;latitude;longitude
Hong Kong;22.396428;114.109497
Hungary;47.162494;19.503304
Iceland;64.963051;-19.020835
India;20.593684;78.96288
Indonesia;-0.789275;113.921327
Iran;32.427908;53.688046
Iraq;33.223191;43.679291
Ireland;53.41291;-8.24389
Isle of Man;54.236107;-4.548056
Israel;31.046051;34.851612
Italy;41.87194;12.56738
Ivory Coast;5.345317;-4.024429
Jamaica;18.109581;-77.297508
Japan;36.204824;138.252924
Jordan;30.585164;36.238414
Kazakhstan;48.019573;66.923684
Kenya;-0.023559;37.906193
Kuwait;29.31166;47.481766
Kyrgyzstan;41.20438;74.766098
Laos;19.85627;102.495496
Latvia;56.879635;24.603189
Lebanon;33.854721;35.862285
Liberia;6.428055;-9.429499
Libya;26.3351;17.228331
Liechtenstein;47.166;9.555373
Lithuania;55.169438;23.881275
Luxembourg;49.815273;6.129583
Macao;22.210928;113.552971
Madagascar;-18.766947;46.869107
Malawi;-13.254308;34.301525
Malaysia;4.210484;101.975766
Maldives;3.202778;73.22068
Mali;17.570692;-3.996166
Malta;35.937496;14.375416
Martinique;14.641528;-61.024174
Mauritania;21.00789;-10.940835
Mauritius;-20.348404;57.552152
Mayotte;-12.8275;45.166244
Mexico;23.634501;-102.552784
Moldova;47.411631;28.369885
Monaco;43.750298;7.412841
Mongolia;46.862496;103.846656
Montenegro;42.708678;19.37439
Montserrat;16.742498;-62.187366
Morocco;31.791702;-7.09262
Mozambique;-18.665695;35.529562
Myanmar;21.913965;95.956223
Namibia;-22.95764;18.49041
Nepal;28.394857;84.124008
Netherlands;52.132633;5.291266
New Caledonia;-20.904305;165.618042
New Zealand;-40.900557;174.885971
Nicaragua;12.865416;-85.207229
Niger;17.607789;8.081666
Nigeria;9.081999;8.675277
North Macedonia;41.99646;21.4314098
Norway;60.472024;8.468946
Oman;21.512583;55.923255
Pakistan;30.375321;69.345116
Palestine;31.952162;35.233154
Panama;8.537981;-80.782127
Papua New Guinea;-6.314993;143.95555
Paraguay;-23.442503;-58.443832
Peru;-9.189967;-75.015152
Philippines;12.879721;121.774017
Poland;51.919438;19.145136
Portugal;39.399872;-8.224454
Qatar;25.354826;51.183884
Réunion;-21.341900;55.477798
Romania;45.943161;24.96676
Russia;61.52401;105.318756
Rwanda;-1.940278;29.873888
S. Korea;37.532600;127.024612
Saint Kitts and Nevis;17.357822;-62.782998
Saint Lucia;13.909444;-60.978893
Saint Martin;18.075277;-63.060001
Saint Pierre Miquelon;46.941936;-56.27111
San Marino;43.94236;12.457777
Sao Tome and Principe;0.255436;6.602781
Saudi Arabia;23.885942;45.079162
Senegal;14.497401;-14.452362
Serbia;44.016521;21.005859
Seychelles;-4.679574;55.491977
Sierra Leone;8.460555;-11.779889
Singapore;1.352083;103.819836
Sint Maarten;18.0424805;-63.0548286
Slovakia;48.669026;19.699024
Slovenia;46.151241;14.995463
Somalia;5.152149;46.199616
South Africa;-30.559482;22.937506
South Sudan;4.859363;31.571251
Spain;40.463667;-3.74922
Sri Lanka;7.873054;80.771797
St. Barth;17.9139;-62.8339
St. Vincent Grenadines;12.9843054;-61.2872276
Sudan;12.862807;30.217636
Suriname;3.919305;-56.027783
Sweden;60.128161;18.643501
Switzerland;46.818188;8.227512
Syria;34.802075;38.996815
Taiwan;23.69781;120.960515
Tajikistan;38.8610344;71.2760925
Tanzania;-6.369028;34.888822
Thailand;15.870032;100.992541
Timor-Leste;-8.874217;125.727539
Togo;8.619543;0.824782
Trinidad and Tobago;10.691803;-61.222503
Tunisia;33.886917;9.537499
Turkey;38.963745;35.243322
Turks and Caicos;21.694025;-71.797928
UAE;24.466667;54.366669
Uganda;1.373333;32.290275
UK;55.378051;-3.435973
Ukraine;48.3794327;31.1655807
Uruguay;-34.901112;-56.164532
USA;37.09024;-95.712891
Uzbekistan;41.377491;64.585262
Vatican City;41.902916;12.453389
Venezuela;6.42375;-66.58973
Vietnam;14.058324;108.277199
Western Sahara;24.215527;-12.885834
Yemen;15.552727;48.516388
Zambia;-13.133897;27.849332
Zimbabwe;-19.015438;29.154857
